acrE	EG10266
dcd	EG11418
yggP	G7520
fixB	EG11563
codA	EG11326
ygbK	G7418
ydiO	G6918
deoA	EG10219
yfdX	G7238
nrdE	EG20257
yghB	EG11824
yeeJ	G7064
mtn	EG11090
tonB	EG11012
yeaR	G6983
nrdA	EG10660
yqjA	G7609
uidC	G6866
ccp	EG12244
cdd	EG10137
ycjS	G6653
fixA	EG11562
tmk	EG12302
gfcC	G6506
cydX	G0-10441
tsx	EG11035
ybiX	G6413
amn	EG10039
ybbJ	G6264
aphA	EG11934
yaaW	G6082
spoT	EG10966
ytiD	G0-16687
fumD	G6903
gpp	EG10413
yshB	G0-10657
fruK	EG10337
pyrH	EG11539
ybfQ	G0-10440
deoR	EG10223
ydiE	EG12391
glaR	EG12386
yhjR	EG12262
gabT	EG10361
yehL	EG11998
gabD	EG11329
yiiQ	EG11874
tdcD	EG11172
yidR	EG11713
talB	EG11556
ycgB	EG11516
talA	EG11797
yghA	EG11292
pdxY	G6879
yjeT	G7844
pdxK	G7259
yhaB	EG11173
psuG	EG12033
allD	G6286
yrdD	G7699
chiA	EG11237
allB	G6281
ybgA	EG11108
allE	G6284
yqjE	G7613
allC	G6285
yjiA	EG10021
allA	G6275
ygfK	G7497
glcE	G7544
yqaE	G7396
rhaM	EG11865
glcD	G7545
smrB	G7202
ulaG	G7855
glcF	G0-8601
flhE	G7027
hofM	G7739
cynS	EG10175
yeaH	G6970
hofP	G7736
cynT	EG10176
ynjI	G6956
ydgJ	G6868
cynX	EG10177
yneK	G6813
yohF	EG12019
ydjG	G6958
yciO	G6635
yhgH	G7747
gloC	G6475
yccX	G6502
hofO	G7737
yeaE	G6967
ybhH	G6399
eutD	G7288
mgsA	G6497
ybaV	G6243
hofQ	EG12113
gloA	G6891
hokE	G0-9582
deoD	EG10222
gloB	G6099
gadF	G0-16680
yhhX	G7757
fixC	EG11564
yoaK	G0-10649
hofN	G7738
caiD	EG11557
yfaH	EG12881
agaS	G7634
fixX	EG11565
prkB	EG12365
rlmJ	EG12234
caiB	EG11559
yhjD	EG12248
gcl	EG11583
yibL	EG11964
metK	EG10589
yihY	EG11851
aceK	EG10026
yicH	EG11684
iclR	EG10491
rmuC	EG11472
aceA	EG10022
yjiK	G7930
aceB	EG10023
preA	EG11289
nfsA	EG11261
nfuA	G7748
