	E. coli Homolog Accession	E. coli Homolog Gene Name	E-Value
Q72GI1	P0AE01	TRMJ	0.53
P83453	P00954	SYW	2.1e-06
P62374	P60906	SYH	4.3e-99
Q72J62	P39300	ULAG	0.00064
Q72HA0	P07395	SYFB	3.2e-136
P62041	P0A8A2	YEEN	6.7e-47
Q72IH5	P77280	YDJJ	6.7e-05
Q72JT5	P0A898	YBEY	9.1e-15
Q72J73	P0ABB0	ATPA	4.7e-25
Q72L49	P0ABB0	ATPA	4.7e-25
Q72LI3	P0A8C8	YIDD	1.2e-28
Q72JN8	P25772	LIGB	1.5e-26
Q72H87	P0AAJ5	FDOH	3e-05
P62356	P60664	HIS6	1.5e-22
Q72JP7	P08373	MURB	5.1e-09
O50147	P0A7B5	PROB	0.41
Q72GG0	P0AEI4	RIMO	1.2e-05
O66271	P0AC38	ASPA	5.7e-105
Q72JQ8	P22186	MRAZ	9.2e-20
P62666	P02358	RS6	1.6e-13
Q72H90	P37655	BCSQP	9e-05
Q72GF9	P0A8M3	SYT	0.00019
Q72IA7	P0A8M3	SYT	0.00019
Q72I07	P60422	RL2	1.4e-101
Q72HC1	P36979	RLMN	9.8e-76
P62654	P0AGG8	TLDD	1.9e-05
Q72HA1	P08312	SYFA	7.4e-90
Q72J35	P0A717	KPRS	3.2e-07
Q72H91	P76068	YNAK	1.9e-09
P62653	P0A7R5	RS10	1.7e-38
Q72J87	P0A8C1	YBJQ	7.4e-43
Q72J02	Q46927	TCDA	2.1e-15
P54893	P0A9L8	P5CR	4.1e-42
Q72KP6	P30136	THIC	0.00033
Q72JF9	P33025	PSUG	4.1e-69
Q72I32	P0A7Z4	RPOA	1.6e-64
Q746M5	P0A840	SURE	2.2e-42
Q72G84	P0A7M2	RL28	1.8e-06
Q72I09	P61175	RL22	4.7e-37
P61661	P06987	HIS7	5.5e-49
Q72IA8	P0A7D1	PTH	1.5e-36
Q72KD9	P00561	AK1H	2.6e-06
P61500	P24554	RADA	1.4e-08
Q72I06	P0ADZ0	RL23	8e-19
Q72JJ7	P0ABW9	FLGB	2.3e-05
Q72L95	P0AEM6	FLIA	5.4e-18
Q72I22	P0AG51	RL30	1.3e-12
Q72ID6	P0AG51	RL30	1.3e-12
Q72KH6	P0A8N7	EPMA	2e-11
Q72IF6	P76055	TTCA	5e-07
Q72JN9	P76055	TTCA	5e-07
Q72GC9	P69741	MBHT	6.8e-05
Q72KU3	P25889	PREA	1.4e-10
Q72H89	P0ACC1	PRMC	1.2e-09
Q72HM5	P0A8V2	RPOB	1.5e-45
P62665	P0A7W1	RS5	2e-45
Q72GZ9	P0A809	RUVA	7.6e-29
P62656	P0AG59	RS14	4.1e-13
Q72JP3	P0A814	RUVC	1.5e-27
Q72L59	P0A6H1	CLPX	6.1e-06
Q72IN0	P0A6F1	CARA	0.0024
P54903	A0A7H2C769	A0A7H2C769	0.00012
Q72H00	P77247	HXPB	3.4e-05
Q72J47	P0ACK8	FUCR	8.3e-06
P62238	P0A7T3	RS16	5e-20
P62668	P0A7W7	RS8	2.5e-37
Q72J22	P23367	MUTL	2.3e-33
Q72H88	P35340	AHPF	0.00066
Q72HI4	P0A8T1	PRMA	0.0002
Q72I05	P60723	RL4	2.1e-30
Q72JZ8	P11458	NADA	1.8e-49
Q72GS2	P0A7K2	RL7	3.7e-32
Q72GC7	P13445	RPOS	3.7e-06
P96076	P13445	RPOS	3.7e-06
Q72GV5	P0A7R1	RL9	7.8e-28
Q72I19	P0AG55	RL6	3.2e-39
Q746H1	P0AG55	RL6	3.2e-39
Q72I15	P45771	YRDD	0.17
Q72HM6	P0A8T7	RPOC	7.8e-66
P61941	P0A7S3	RS12	3.3e-61
Q72L76	P0A7L3	RL20	1e-44
Q72GL2	P41442	GSPG	3.2e-10
Q72K66	P33596	RECX	4e-12
Q72GD0	P77329	HYFG	2.9e-10
Q72IH9	P45470	YHBO	2.8e-07
Q72JC3	P45470	YHBO	2.8e-07
