Gene	AA Sequence	Superfam ID	Superfam Name	Fold Name
atpE	3-77	81333	F1F0 ATP synthase subunit C:	Transmembrane helix hairpin
ppiC	5-90	54534	FKBP-like:	FKBP-like
rcsB	3-135	52172	CheY-like:	Flavodoxin-like
    	146-207	46894	C-terminal effector domain of the bipartite response regulators:	DNA/RNA-binding 3-helical bundle
yedF	2-77	64307	SirA-like:	IF3-like
cspC	3-68	50249	Nucleic acid-binding proteins:	OB-fold
rplT	3-117	74731	Ribosomal protein L20:	PABP domain-like
acpP	3-74	47336	ACP-like:	Acyl carrier protein-like
infA	1-70	50249	Nucleic acid-binding proteins:	OB-fold
ribE	4-154	52121	Lumazine synthase:	Lumazine synthase
rpsR	3-74	46911	Ribosomal protein S18:	DNA/RNA-binding 3-helical bundle
csrA	1-57	117130	CsrA-like:	CsrA-like
rlmE	31-208	53335	S-adenosyl-L-methionine-dependent methyltransferases:	S-adenosyl-L-methionine-dependent methyltransferases
rpsI	5-130	54211	Ribosomal protein S5 domain 2-like:	Ribosomal protein S5 domain 2-like
mreB	153-340	53067	Actin-like ATPase domain:	Ribonuclease H-like motif
    	9-152	53067	Actin-like ATPase domain:	Ribonuclease H-like motif
fis	4-98	46689	Homeodomain-like:	DNA/RNA-binding 3-helical bundle
rpoA	53-178	56553	Insert subdomain of RNA polymerase alpha subunit:	Insert subdomain of RNA polymerase alpha subunit
    	255-314	47789	C-terminal domain of RNA polymerase alpha subunit:	SAM domain-like
    	6-53,179-231	55257	RBP11-like subunits of RNA polymerase:	DCoH-like
rpsD	3-206	55174	Alpha-L RNA-binding motif:	Alpha-L RNA-binding motif
rpsE	79-159	54211	Ribosomal protein S5 domain 2-like:	Ribosomal protein S5 domain 2-like
    	9-75	54768	dsRNA-binding domain-like:	dsRBD-like
rplR	3-115	53137	Translational machinery components:	Ribonuclease H-like motif
rpsH	5-129	56047	Ribosomal protein S8:	Ribosomal protein S8
rplP	3-133	54686	Ribosomal protein L16p/L10e:	alpha/beta-Hammerhead
rpsC	108-206	54821	Ribosomal protein S3 C-terminal domain:	Ribosomal protein S3 C-terminal domain
    	2-106	54814	Prokaryotic type KH domain (KH-domain type II):	Alpha-lytic protease prodomain-like
   F	112-227	-7	CATH:	
rplV	1-109	54843	Ribosomal protein L22:	Ribosomal protein L22
rpsS	3-84	54570	Ribosomal protein S19:	Ribosomal protein S19
rplD	10-200	52166	Ribosomal protein L4:	Ribosomal protein L4
uspA	3-139	52402	Adenine nucleotide alpha hydrolases-like:	Adenine nucleotide alpha hydrolase-like
cspA	4-68	50249	Nucleic acid-binding proteins:	OB-fold
rpmG	1-53	57829	Zn-binding ribosomal proteins:	Rubredoxin-like
rpoZ	1-79	63562	RPB6/omega subunit-like:	RPB6/omega subunit-like
rpmF	2-55	57829	Zn-binding ribosomal proteins:	Rubredoxin-like
ihfA	3-91	47729	IHF-like DNA-binding proteins:	IHF-like DNA-binding proteins
ptsH	1-82	55594	HPr-like:	HPr-like
ompR	3-126	52172	CheY-like:	Flavodoxin-like
    	132-234	46894	C-terminal effector domain of the bipartite response regulators:	DNA/RNA-binding 3-helical bundle
rpsL	3-123	50249	Nucleic acid-binding proteins:	OB-fold
rplX	4-100	50104	Translation proteins SH3-like domain:	SH3-like barrel
rpmJ	1-38	57840	Ribosomal protein L36:	Ribosomal protein L36
rpsK	14-129	53137	Translational machinery components:	Ribonuclease H-like motif
rplU	1-102	141091	L21p-like:	L21p-like
insE-1	11-96	46689	Homeodomain-like:	DNA/RNA-binding 3-helical bundle
insE-2	11-96	46689	Homeodomain-like:	DNA/RNA-binding 3-helical bundle
insE-3	11-96	46689	Homeodomain-like:	DNA/RNA-binding 3-helical bundle
insE-4	11-96	46689	Homeodomain-like:	DNA/RNA-binding 3-helical bundle
insE-5	11-96	46689	Homeodomain-like:	DNA/RNA-binding 3-helical bundle
insF-1	120-282	53098	Ribonuclease H-like:	Ribonuclease H-like motif
insF-2	120-282	53098	Ribonuclease H-like:	Ribonuclease H-like motif
insF-3	120-282	53098	Ribonuclease H-like:	Ribonuclease H-like motif
insF-4	120-282	53098	Ribonuclease H-like:	Ribonuclease H-like motif
insF-5	120-282	53098	Ribonuclease H-like:	Ribonuclease H-like motif
dksA	9-109	109635	DnaK suppressor protein DksA, alpha-hairpin domain:	Long alpha-hairpin
