Gene	Frame ID	Synonyms	Location	Complex	Cofactors	Essentiality (Lb Lennox)	Copy Number in Neidhardt EZ rich defined medium (molecules/cell)	Molecular Weight (from nucleotide sequece)	Mass (fg)	Overall # of Subunits	Unique Subunits	pI
flgE	G361	flaK	"cytosol, cell projection"	"'FliG.26', 'FliM.34', 'FliN.', 'FlgH.', 'MotA.', 'MotB.', 'FlgB.', 'FlgC.', 'FlgF.', 'FlgG.', 'FlgI.', 'FliF.', 'FlgE.120', 'FlgK.', 'FlgL.', 'FliC.', 'FliD.5'"	None	Growth	138	42.045	0.009634796	198	17	4.3
flgK	EG11967	flaS	"extracellular space, cell projection"	"'FliG.26', 'FliM.34', 'FliN..', 'FlgH.', 'MotA.', 'MotB.', 'FlgB.', 'FlgC.', 'FlgF.', 'FlgG.', 'FlgI.', 'FliF..', 'FlgE.120', 'FlgK.', 'FlgL.', 'FliC.', 'FliD.5'"	None	Growth	15	57.93	0.001442925	198	17	4.318
flgL	EG11545	flaT	"extracellular space, cell projection"	"'FliG.26', 'FliM.34', 'FliN..', 'FlgH.', 'MotA.', 'MotB.', 'FlgB.', 'FlgC.', 'FlgF.', 'FlgG.', 'FlgI.', 'FliF..', 'FlgE.120', 'FlgK.', 'FlgL.', 'FliC.', 'FliD.5'"	None	Growth	No Info Available	34.281	No Info Available	198	17	4.483
fliC	EG10321	H; flaF; hag; flagellin	"extracellular space, cell projection"	"'FliG.26', 'FliM.34', 'FliN..', 'FlgH.', 'MotA.', 'MotB.', 'FlgB.', 'FlgC.', 'FlgF.', 'FlgG.', 'FlgI.', 'FliF..', 'FlgE.120', 'FlgK.', 'FlgL.', 'FliC.', 'FliD.5'"	None	Growth	75	51.295	0.006388301	198	17	4.341
fliD	EG10841	flbC; rfs; HAP2; hook-associated protein 2	"extracellular space, cell projection"	"'FliG.26', 'FliM.34', 'FliN..', 'FlgH.', 'MotA.', 'MotB.', 'FlgB.', 'FlgC.', 'FlgF.', 'FlgG.', 'FlgI.', 'FliF.', 'FlgE.120', 'FlgK.', 'FlgL.', 'FliC.', 'FliD.5'"	None	Growth	No Info Available	48.456	No Info Available	198	17	4.669
flgB	G358	flbA	"periplasmic space, cell projection"	"'FliG.26', 'FliM.34', 'FliN..', 'FlgH.', 'MotA.', 'MotB.', 'FlgB.', 'FlgC.', 'FlgF.', 'FlgG.', 'FlgI.', 'FliF.'"	None	Growth	78	15.24	0.001973916	70	12	4.897
flgC	G359	flaW	"periplasmic space, cell projection"	"'FliG.26', 'FliM.34', 'FliN..', 'FlgH.', 'MotA.', 'MotB.', 'FlgB.', 'FlgC.', 'FlgF.', 'FlgG.', 'FlgI.', 'FliF.'"	None	Growth	83	13.968	0.001925136	70	12	5.095
flgF	G362	flaX	cell projection	"'FliG.26', 'FliM.34', 'FliN..', 'FlgH.', 'MotA.', 'MotB.', 'FlgB.', 'FlgC.', 'FlgF.', 'FlgG.', 'FlgI.', 'FliF.'"	None	Growth	44	25.912	0.001893227	70	12	4.656
flgG	G363	flaL	"outer membrane, cell projection"	"'FliG.26', 'FliM.34', 'FliN..', 'FlgH.', 'MotA.', 'MotB.', 'FlgB.', 'FlgC.', 'FlgF.', 'FlgG.', 'FlgI.', 'FliF.'"	None	Growth	80	27.744	0.0036856	70	12	4.536
flgH	G364	flaY	"outer membrane, cell projection"	"'FliG.26', 'FliM.34', 'FliN..', 'FlgH.', 'MotA.', 'MotB.', 'FlgB.', 'FlgC.', 'FlgF.', 'FlgG.', 'FlgI.', 'FliF.'"	None	Growth	No Info Available	24.615	No Info Available	70	12	8.126
flgI	G365	flaM	"periplasmic space, cell projection"	"'FliG.26', 'FliM.34', 'FliN.', 'FlgH.', 'MotA.', 'MotB.', 'FlgB.', 'FlgC.', 'FlgF.', 'FlgG.', 'FlgI.', 'FliF.'"	None	Growth	13	38.169	0.000823954	70	12	9.422
fliF	EG11347	flaAII.1; flaBI	"periplasmic space, inner membrane, cytosol, cell projection"	"'FliG.26', 'FliM.34', 'FliN..', 'FlgH.', 'MotA.', 'MotB.', 'FlgB.', 'FlgC.', 'FlgF.', 'FlgG.', 'FlgI.', 'FliF.'"	None	Growth	15	60.589	0.001509156	70	12	6.691
motA	EG10601	flaJ	inner membrane	"'FliG.26', 'FliM.34', 'FliN..', 'FlgH.', 'MotA.', 'MotB.', 'FlgB.', 'FlgC.', 'FlgF.', 'FlgG.', 'FlgI.', 'FliF.'"	None	Growth	No Info Available	32.011	No Info Available	70	12	5.432
motB	EG10602	flaJ	inner membrane	"'FliG.26', 'FliM.34', 'FliN..', 'FlgH.', 'MotA.', 'MotB.', 'FlgB.', 'FlgC.', 'FlgF.', 'FlgG.', 'FlgI.', 'FliF.'"	None	Growth	No Info Available	34.186	No Info Available	70	12	9.243
fliG	EG11654	flaAII.2; flaBII	"inner membrane, cell projection"	"'FliG.26', 'FliM.34', 'FliN.'"	None	Growth	17	36.776	0.001038156	61	3	4.55
fliM	EG10323	flaQ; fla; flaQII; flaAII; flaA; cheC2	"inner membrane, cell projection"	"'FliG.26', 'FliM.34', 'FliN.'"	None	Growth	32	37.849	0.002011192	61	3	5.445
fliN	EG10324	motD	"inner membrane, cell projection"	"'FliG.26', 'FliM.34', 'FliN.'"	None	Growth	50	14.855	0.001233365	61	3	4.28
aceE	EG10024	subunit of E1p component of pyruvate dehydrogenase complex	cytosol	"'AceE.2.12', 'AceF.24', 'Lpd.2.6'"	"thiamine diphosphate , FAD , Mg2+ "	Growth	66813	99.668	11.05772555	60	3	5.429
aceF	EG10025	dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex	cytosol	"'AceE.2.12', 'AceF.24', 'Lpd.2.6'"	"thiamine diphosphate , FAD , Mg2+ "	Growth	60155	66.096	6.602311328	60	3	4.96
ribE	EG11322	nusIII; ribH; ybaF	cytosol	'RibE.60'	None	No Growth	10923	16.156	0.293038626	60	1	5.041
adhE	EG10031	adhC; ana; pyruvate-formate-lyase deactivase	cytosol	'AdhE.40'	Fe2+ 	Growth	3485	96.127	0.556284888	40	1	6.462
lpd	EG10543	dhl; lpdA; E3 subunit	"inner membrane, cytosol"	"'SucA.12.', 'SucB.24.', 'Lpd.2.'"	FAD 	Growth	44872	50.688	3.776849446	38	3	No Info Available
rplA	EG10864	rpy	"cytosol, ribosome"	"'RrlA.', 'RrfA.', 'RplA.', 'RplB.', 'RplC.', 'RplD.', 'RplE.', 'RplF.', 'RplJ.', 'RplL.2.2.', 'RplI.', 'RplK.', 'RplM.', 'RplN.', 'RplO.', 'RplP.', 'RplQ.', 'RplR.', 'RplS.', 'RplT.', 'RplU.', 'RplV.', 'RplW.', 'RplX.', 'RplY.', 'RpmA.', 'RpmB.', 'RpmC.', 'RpmD.', 'RpmE.', 'RpmF.', 'RpmG.', 'RpmH.', 'RpmI.', 'RpmJ.'"	None	Growth	143769	24.73	5.903892743	38	35	9.957
rplB	EG10865	None	"cytosol, ribosome"	"'RrlA.', 'RrfA.', 'RplA.', 'RplB.', 'RplC.', 'RplD.', 'RplE.', 'RplF.', 'RplJ.', 'RplL.2.2.', 'RplI.', 'RplK.', 'RplM.', 'RplN.', 'RplO.', 'RplP.', 'RplQ.', 'RplR.', 'RplS.', 'RplT.', 'RplU.', 'RplV.', 'RplW.', 'RplX.', 'RplY.', 'RpmA.', 'RpmB.', 'RpmC.', 'RpmD.', 'RpmE.', 'RpmF.', 'RpmG.', 'RpmH.', 'RpmI.', 'RpmJ.'"	None	No Growth	126480	29.86	6.271345838	38	35	11.196
rplC	EG10866	None	"cytosol, ribosome"	"'RrlA.', 'RrfA.', 'RplA.', 'RplB.', 'RplC.', 'RplD.', 'RplE.', 'RplF.', 'RplJ.', 'RplL.2.2.', 'RplI.', 'RplK.', 'RplM.', 'RplN.', 'RplO.', 'RplP.', 'RplQ.', 'RplR.', 'RplS.', 'RplT.', 'RplU.', 'RplV.', 'RplW.', 'RplX.', 'RplY.', 'RpmA.', 'RpmB.', 'RpmC.', 'RpmD.', 'RpmE.', 'RpmF.', 'RpmG.', 'RpmH.', 'RpmI.', 'RpmJ.'"	None	No Growth	118352	22.243	4.371374896	38	35	10.238
rplD	EG10867	eryA	"ribosome, cytosol"	"'RrlA.', 'RrfA.', 'RplA.', 'RplB.', 'RplC.', 'RplD.', 'RplE.', 'RplF.', 'RplJ.', 'RplL.2.2.', 'RplI.', 'RplK.', 'RplM.', 'RplN.', 'RplO.', 'RplP.', 'RplQ.', 'RplR.', 'RplS.', 'RplT.', 'RplU.', 'RplV.', 'RplW.', 'RplX.', 'RplY.', 'RpmA.', 'RpmB.', 'RpmC.', 'RpmD.', 'RpmE.', 'RpmF.', 'RpmG.', 'RpmH.', 'RpmI.', 'RpmJ.'"	None	No Growth	131359	22.086	4.817547352	38	35	10.037
rplE	EG10868	None	"cytosol, ribosome"	"'RrlA.', 'RrfA.', 'RplA.', 'RplB.', 'RplC.', 'RplD.', 'RplE.', 'RplF.', 'RplJ.', 'RplL.2.2.', 'RplI.', 'RplK.', 'RplM.', 'RplN.', 'RplO.', 'RplP.', 'RplQ.', 'RplR.', 'RplS.', 'RplT.', 'RplU.', 'RplV.', 'RplW.', 'RplX.', 'RplY.', 'RpmA.', 'RpmB.', 'RpmC.', 'RpmD.', 'RpmE.', 'RpmF.', 'RpmG.', 'RpmH.', 'RpmI.', 'RpmJ.'"	None	No Growth	111791	20.302	3.76872766	38	35	9.71
rplF	EG10869	None	"cytosol, ribosome"	"'RrlA.', 'RrfA.', 'RplA.', 'RplB.', 'RplC.', 'RplD.', 'RplE.', 'RplF.', 'RplJ.', 'RplL.2.2.', 'RplI.', 'RplK.', 'RplM.', 'RplN.', 'RplO.', 'RplP.', 'RplQ.', 'RplR.', 'RplS.', 'RplT.', 'RplU.', 'RplV.', 'RplW.', 'RplX.', 'RplY.', 'RpmA.', 'RpmB.', 'RpmC.', 'RpmD.', 'RpmE.', 'RpmF.', 'RpmG.', 'RpmH.', 'RpmI.', 'RpmJ.'"	None	No Growth	117546	18.904	3.689866506	38	35	9.964
rplI	EG10870	None	"cytosol, ribosome"	"'RrlA.', 'RrfA.', 'RplA.', 'RplB.', 'RplC.', 'RplD.', 'RplE.', 'RplF.', 'RplJ.', 'RplL.2.2.', 'RplI.', 'RplK.', 'RplM.', 'RplN.', 'RplO.', 'RplP.', 'RplQ.', 'RplR.', 'RplS.', 'RplT.', 'RplU.', 'RplV.', 'RplW.', 'RplX.', 'RplY.', 'RpmA.', 'RpmB.', 'RpmC.', 'RpmD.', 'RpmE.', 'RpmF.', 'RpmG.', 'RpmH.', 'RpmI.', 'RpmJ.'"	None	Growth	139354	15.769	3.648990082	38	35	6.289
rplK	EG10872	relC	"ribosome, cytosol"	"'RrlA.', 'RrfA.', 'RplA.', 'RplB.', 'RplC.', 'RplD.', 'RplE.', 'RplF.', 'RplJ.', 'RplL.2.2.', 'RplI.', 'RplK.', 'RplM.', 'RplN.', 'RplO.', 'RplP.', 'RplQ.', 'RplR.', 'RplS.', 'RplT.', 'RplU.', 'RplV.', 'RplW.', 'RplX.', 'RplY.', 'RpmA.', 'RpmB.', 'RpmC.', 'RpmD.', 'RpmE.', 'RpmF.', 'RpmG.', 'RpmH.', 'RpmI.', 'RpmJ.'"	None	No Growth	153601	14.875	3.7940243	38	35	9.941
rplM	EG10874	None	"cytosol, ribosome"	"'RrlA.', 'RrfA.', 'RplA.', 'RplB.', 'RplC.', 'RplD.', 'RplE.', 'RplF.', 'RplJ.', 'RplL.2.2.', 'RplI.', 'RplK.', 'RplM.', 'RplN.', 'RplO.', 'RplP.', 'RplQ.', 'RplR.', 'RplS.', 'RplT.', 'RplU.', 'RplV.', 'RplW.', 'RplX.', 'RplY.', 'RpmA.', 'RpmB.', 'RpmC.', 'RpmD.', 'RpmE.', 'RpmF.', 'RpmG.', 'RpmH.', 'RpmI.', 'RpmJ.'"	None	No Growth	119510	16.019	3.178986901	38	35	10.158
rplN	EG10875	None	"cytosol, ribosome"	"'RrlA.', 'RrfA.', 'RplA.', 'RplB.', 'RplC.', 'RplD.', 'RplE.', 'RplF.', 'RplJ.', 'RplL.2.2.', 'RplI.', 'RplK.', 'RplM.', 'RplN.', 'RplO.', 'RplP.', 'RplQ.', 'RplR.', 'RplS.', 'RplT.', 'RplU.', 'RplV.', 'RplW.', 'RplX.', 'RplY.', 'RpmA.', 'RpmB.', 'RpmC.', 'RpmD.', 'RpmE.', 'RpmF.', 'RpmG.', 'RpmH.', 'RpmI.', 'RpmJ.'"	None	No Growth	118153	13.541	2.656712639	38	35	10.72
rplO	EG10876	None	ribosome	"'RrlA.', 'RrfA.', 'RplA.', 'RplB.', 'RplC.', 'RplD.', 'RplE.', 'RplF.', 'RplJ.', 'RplL.2.2.', 'RplI.', 'RplK.', 'RplM.', 'RplN.', 'RplO.', 'RplP.', 'RplQ.', 'RplR.', 'RplS.', 'RplT.', 'RplU.', 'RplV.', 'RplW.', 'RplX.', 'RplY.', 'RpmA.', 'RpmB.', 'RpmC.', 'RpmD.', 'RpmE.', 'RpmF.', 'RpmG.', 'RpmH.', 'RpmI.', 'RpmJ.'"	None	No Growth	117266	14.98	2.916977071	38	35	11.428
rplP	EG10877	None	"cytosol, ribosome"	"'RrlA.', 'RrfA.', 'RplA.', 'RplB.', 'RplC.', 'RplD.', 'RplE.', 'RplF.', 'RplJ.', 'RplL.2.2.', 'RplI.', 'RplK.', 'RplM.', 'RplN.', 'RplO.', 'RplP.', 'RplQ.', 'RplR.', 'RplS.', 'RplT.', 'RplU.', 'RplV.', 'RplW.', 'RplX.', 'RplY.', 'RpmA.', 'RpmB.', 'RpmC.', 'RpmD.', 'RpmE.', 'RpmF.', 'RpmG.', 'RpmH.', 'RpmI.', 'RpmJ.'"	None	No Growth	131270	15.281	3.330936485	38	35	11.474
rplQ	EG10878	None	"ribosome, cytosol"	"'RrlA.', 'RrfA.', 'RplA.', 'RplB.', 'RplC.', 'RplD.', 'RplE.', 'RplF.', 'RplJ.', 'RplL.2.2.', 'RplI.', 'RplK.', 'RplM.', 'RplN.', 'RplO.', 'RplP.', 'RplQ.', 'RplR.', 'RplS.', 'RplT.', 'RplU.', 'RplV.', 'RplW.', 'RplX.', 'RplY.', 'RpmA.', 'RpmB.', 'RpmC.', 'RpmD.', 'RpmE.', 'RpmF.', 'RpmG.', 'RpmH.', 'RpmI.', 'RpmJ.'"	None	No Growth	154167	14.365	3.677444629	38	35	11.277
