#===========================================================================================
#  DOMAIN MAPPER v2.0.2
#  Johns Hopkins Univeristy - January 19th, 2022
#  Edgar Manriquez-Sandoval, B.S. - Dept. of Biophysics
#  emanriq1@jhu.edu
#  & 
#  Stephen D. Fried, Ph.D. - Dept. of Chemistry
#  sdfried@jhu.edu
#===========================================================================================
#  Excecuted on:
#               2022-01-20 13:12:54.094479
#  Input HMM: 
#               Thermus.hmm.out
#  Output:
#               Thermus.mapped.tsv
#  Options:
#               Intra domain gap = 35
#               Inter domain gap = 20
#               overlap = 15
#               E-value cutoff = 1.00e-05
#  Domain Counts:
#               Total Proteins:   2201         Total Domains:    2984
#                                                        NC :  97 (3.25%)
#                                                        CP :   1 (0.03%)
#                                                        IS :  44 (1.47%)
#  Property Definitions:
#               CP = Circular Permutant Domain
#               NC = Non-Contiguous Domain
#               IS = InSertional Domain
#===========================================================================================
# Accession	E-Value	Residue Range	Property	Architecture	X-group	T-group	F-group	F-id
sp|Q72L49|Y214_THET2	1.7e-80	4-190		a/b three-layered sandwiches	Hypothetical protein TT1679	Hypothetical protein TT1679	DUF436	7547.1.1.2	
sp|Q72IZ3|Y988_THET2	2.4e-08	2-36		beta barrels	OB-fold	Nucleic acid-binding proteins	TRAM	2.1.1.62	
sp|Q72IZ3|Y988_THET2	6.5e-15	254-348		a/b three-layered sandwiches	Rossmann-like	S-adenosyl-L-methionine-dependent methyltransferases	Methyltransf_11_2	2003.1.5.86	
sp|P62238|RS16_THET2	1.7e-39	1-82		a+b two layers	Ribosomal protein S16	Ribosomal protein S16	Ribosomal_S16_1	837.1.1.3	
sp|Q72HM5|RPOB_THET2	8.9e-49	20-149		a+b complex topology	N-terminal domain in beta subunit of DNA dependent RNA-polymerase	N-terminal domain in beta subunit of DNA dependent RNA-polymerase	RNA_pol_Rpb2_3	4010.1.1.4	
sp|Q72HM5|RPOB_THET2	4.4e-25	143-331		a+b complex topology	insertion domain in beta subunit of DNA dependent RNA-polymerase	insertion domain in beta subunit of DNA dependent RNA-polymerase	RNA_pol_Rpb2_1	4041.1.1.2	
sp|Q72HM5|RPOB_THET2	1.1e-60	323-456		a+b complex topology	N-terminal domain in beta subunit of DNA dependent RNA-polymerase	N-terminal domain in beta subunit of DNA dependent RNA-polymerase	RNA_pol_Rpb2_3	4010.1.1.4	
sp|Q72HM5|RPOB_THET2	1.5e-57	466-591		a+b complex topology	barrel domain in beta subunit of DNA dependent RNA-polymerase	barrel domain in beta subunit of DNA dependent RNA-polymerase	RNA_pol_Rpb2_45	4042.1.1.3	
sp|Q72HM5|RPOB_THET2	1.1e-31	595-660		a+b complex topology	alpha/beta-Hammerhead/Barrel-sandwich hybrid	Single hybrid motif	RNA_pol_Rpb2_6_1st_1	325.1.7.25	
sp|Q72HM5|RPOB_THET2	8.0e-60	701-832		a+b complex topology	alpha/beta-Hammerhead/Barrel-sandwich hybrid	Single hybrid motif	RNA_pol_Rpb2_6_2nd	325.1.7.39	
sp|Q72HM5|RPOB_THET2	1.7e-74	822-997		beta barrels	cradle loop barrel	double psi	RNA_pol_Rpb2_6_3rd_3	1.1.2.50	
sp|Q72HM5|RPOB_THET2	5.0e-26	1009-1100		a+b complex topology	C-terminal domain in beta subunit of DNA dependent RNA-polymerase	C-terminal domain in beta subunit of DNA dependent RNA-polymerase	RNA_pol_Rpb2_7	4043.1.1.3	
sp|Q72GV9|RL1_THET2	3.2e-38	69-156		a/b three-layered sandwiches	Flavodoxin-like	Rossmann-like domain in Ribosomal protein L1	Ribosomal_L1_1st	2007.25.1.1	
sp|Q72GV9|RL1_THET2	1.8e-10	162-225		a+b two layers	a+b domain in Ribosomal protein L1	a+b domain in Ribosomal protein L1	Ribosomal_L1_2nd_1	898.1.1.9	
sp|Q72K55|SPEE_THET2	5.1e-38	5-57		beta meanders	Spermidine synthase tetramerisation domain	Spermidine synthase tetramerisation domain	Spermine_synt_N_2	3699.1.1.2	
sp|Q72K55|SPEE_THET2	6.9e-82	59-286		a/b three-layered sandwiches	Rossmann-like	S-adenosyl-L-methionine-dependent methyltransferases	Spermine_synth	2003.1.5.97	
sp|Q72JN9|THYX_THET2	7.2e-71	11-216		a+b two layers	Thymidylate synthase-complementing protein Thy1	Thymidylate synthase-complementing protein Thy1	Thy1	842.1.1.1	
sp|Q72H89|RSMG_THET2	3.7e-70	23-229		a/b three-layered sandwiches	Rossmann-like	S-adenosyl-L-methionine-dependent methyltransferases	GidB	2003.1.5.15	
sp|Q72HA1|SYFA_THET2	5.6e-25	8-81		alpha bundles	Long alpha-hairpin	tRNA-binding arm	Phe_tRNA-synt_N	192.7.1.3	
sp|Q72HA1|SYFA_THET2	6.8e-94	81-346		a+b three layers	Class II aaRS and biotin synthetases	Class II aaRS and biotin synthetases	tRNA-synt_2d	314.1.1.8	
sp|Q72LI9|SYE_THET2	2.9e-121	2-300		alpha bundles	Zn-binding domain in glutaminyl-tRNA synthetase	Zn-binding domain in glutaminyl-tRNA synthetase	tRNA-synt_1c_1	8002.1.1.1	
sp|Q72LI9|SYE_THET2	4.3e-60	307-467		alpha arrays	HTH	An anticodon-binding domain of class I aminoacyl-tRNA synthetases	gltX_2	101.8.1.1	
sp|Q72L85|SYG_THET2	1.9e-68	10-94,180-374	NC	a+b three layers	Class II aaRS and biotin synthetases	Class II aaRS and biotin synthetases	tRNA-synt_2b	314.1.1.13	
sp|Q72L85|SYG_THET2	6.8e-25	397-504		a/b three-layered sandwiches	Anticodon-binding domain of Class II aaRS	Anticodon-binding domain of Class II aaRS	HGTP_anticodon	7502.1.1.2	
sp|Q72JU8|TRMD_THET2	6.9e-83	1-212		a/b three-layered sandwiches	alpha/beta knot	alpha/beta knot	tRNA_m1G_MT	2488.1.1.10	
sp|Q72K66|RECX_THET2	1.2e-07	9-48		alpha arrays	HTH	DNA repair regulatory protein RecX	recX_2	101.35.1.6	
sp|Q72K66|RECX_THET2	2.3e-12	50-89		alpha arrays	HTH	DNA repair regulatory protein RecX	RecX	101.35.1.2	
sp|Q72JJ8|PNP_THET2	1.0e-44	19-149		a+b two layers	Ribosomal protein S5 domain 2-like	Ribosomal protein S5 domain 2-like	RNase_PH	212.1.1.25	
sp|Q72JJ8|PNP_THET2	1.7e-33	152-222		a+b two layers	Ribonuclease PH domain 2-like	Ribonuclease PH domain 2	RNase_PH_C	245.1.1.20	
sp|Q72JJ8|PNP_THET2	8.4e-12	257-332		alpha arrays	HTH	Polynucleotide phosphorylase/guanosine pentaphosphate synthase (PNPase/GPSI), domain 3	PNPase	101.11.1.1	
sp|Q72JJ8|PNP_THET2	3.5e-65	337-468		a+b two layers	Ribosomal protein S5 domain 2-like	Ribosomal protein S5 domain 2-like	RNase_PH_1	212.1.1.167	
sp|Q72JJ8|PNP_THET2	2.5e-26	471-553		a+b two layers	Ribonuclease PH domain 2-like	Ribonuclease PH domain 2	RNase_PH_C_2	245.1.1.19	
sp|Q72JJ8|PNP_THET2	6.5e-21	564-626		a+b two layers	Alpha-lytic protease prodomain-like	Eukaryotic type KH-domain (KH-domain type I)	KH_1_2	327.11.2.45	
sp|Q72JJ8|PNP_THET2	4.7e-06	591-614		a+b two layers	Alpha-lytic protease prodomain-like	Prokaryotic type KH domain (KH-domain type II)	PNPase_KH	327.11.1.22	
sp|Q72JJ8|PNP_THET2	7.3e-31	630-698		beta barrels	OB-fold	Nucleic acid-binding proteins	S1	2.1.1.80	
sp|Q60050|PROB_THET2	1.7e-63	8-256		a/b three-layered sandwiches	Carbamate kinase-like	Carbamate kinase-like	AA_kinase	7531.1.1.1	
sp|Q60050|PROB_THET2	1.4e-22	277-351		beta barrels	cradle loop barrel	PUA domain	PUA	1.1.9.12	
sp|Q72KT9|PYRR_THET2	2.0e-32	7-159		a/b three-layered sandwiches	PRTase-like	PRTase-like	Pribosyltran	7573.1.1.1	
sp|P61941|RS12_THET2	1.6e-56	29-124		beta barrels	OB-fold	Nucleic acid-binding proteins	Ribosom_S12_S23	2.1.1.385	
sp|Q72KA1|SSRP_THET2	8.5e-54	5-122		beta barrels	OB-fold	Small protein B (SmpB)	SmpB	2.21.1.1	
sp|Q72GD6|NUOI_THET2	1.7e-19	51-117		alpha arrays	alpha-helical ferredoxin-like	alpha-helical ferredoxin	Fer4_21_1	187.1.1.9	
sp|Q72GD6|NUOI_THET2	4.7e-07	51-75		a+b two layers	4Fe-4S ferredoxin	4Fe-4S ferredoxin	Fer4_11	205.1.1.9	
sp|Q72GD6|NUOI_THET2	5.9e-06	97-120		a+b two layers	4Fe-4S ferredoxin	4Fe-4S ferredoxin	DUF1730	205.1.1.46	
sp|Q72GU2|ODBB_THET2	2.9e-61	4-175		a/b three-layered sandwiches	Thiamin diphosphate-binding fold (THDP-binding)	Thiamin diphosphate-binding fold (THDP-binding)	Transket_pyr	7574.1.1.6	
sp|Q72GU2|ODBB_THET2	4.7e-43	191-322		a/b three-layered sandwiches	TK C-terminal domain-like	TK C-terminal domain-like	Transketolase_C	7522.1.1.1	
sp|Q72GD8|NUOK_THET2	4.4e-33	3-80		alpha complex topology	NADH-quinone oxidoreductase subunit K	NADH-quinone oxidoreductase subunit K	Oxidored_q2	3843.1.1.1	
sp|Q72JR7|TAL_THET2	3.3e-74	1-222		a/b barrels	TIM beta/alpha-barrel	TIM barrels	TAL_FSA	2002.1.1.183	
sp|Q72L53|URK_THET2	1.6e-75	5-200		a/b three-layered sandwiches	P-loop domains-like	P-loop containing nucleoside triphosphate hydrolases	PRK	2004.1.1.142	
sp|Q72L53|URK_THET2	3.9e-06	7-31		a/b three-layered sandwiches	P-loop domains-like	P-loop containing nucleoside triphosphate hydrolases	CoaE	2004.1.1.63	
sp|Q72KF7|SYN_THET2	1.3e-18	5-96		beta barrels	OB-fold	Nucleic acid-binding proteins	tRNA_anti-codon	2.1.1.63	
sp|Q72KF7|SYN_THET2	5.9e-92	112-432		a+b three layers	Class II aaRS and biotin synthetases	Class II aaRS and biotin synthetases	tRNA-synt_2	314.1.1.5	
sp|Q72H19|TGT_THET2	4.5e-163	4-364		a/b barrels	TIM beta/alpha-barrel	TIM barrels	TGT	2002.1.1.177	
sp|Q72GX5|PSTB_THET2	7.6e-68	25-257		a/b three-layered sandwiches	P-loop domains-like	P-loop containing nucleoside triphosphate hydrolases	ABC_tran	2004.1.1.1404	
sp|Q72I14|RL14_THET2	3.9e-55	5-119		beta barrels	Ribosomal protein L14-like	Ribosomal protein L14-related	Ribosomal_L14	3174.1.1.7	
sp|Q72I33|RL17_THET2	2.9e-50	4-117		a+b two layers	Enolase-N/ribosomal protein	Prokaryotic ribosomal protein L17	Ribosomal_L17_1	218.3.1.3	
sp|Q72IH7|PURL_THET2	1.1e-26	3-42		alpha arrays	RuvA-C	FGAM synthase PurL, linker domain	PRK01213	103.6.1.3	
sp|Q72IH7|PURL_THET2	7.2e-10	21-42		alpha arrays	RuvA-C	FGAM synthase PurL, linker domain	PRK14090	103.6.1.1	
sp|Q72IH7|PURL_THET2	7.2e-52	47-183		a+b three layers	Bacillus chorismate mutase-like	PurM N-terminal domain-like	AIRS_1	301.2.1.3	
sp|Q72IH7|PURL_THET2	4.1e-20	190-345		a+b two layers	Alpha-beta plaits	PurM C-terminal domain-like	AIRS_C	304.111.1.1	
sp|Q72IH7|PURL_THET2	5.3e-48	405-550		a+b three layers	Bacillus chorismate mutase-like	PurM N-terminal domain-like	AIRS_1	301.2.1.3	
sp|Q72IH7|PURL_THET2	1.0e-14	559-697		a+b two layers	Alpha-beta plaits	PurM C-terminal domain-like	AIRS_C	304.111.1.1	
sp|Q72J73|VATB_THET2	5.6e-11	11-67		beta barrels	cradle loop barrel	Alanine racemase-C	ATP-synt_ab_N	1.1.7.6	
sp|Q72J73|VATB_THET2	1.5e-92	83-361		a/b three-layered sandwiches	P-loop domains-like	P-loop containing nucleoside triphosphate hydrolases	ATP-synt_ab	2004.1.1.53	
sp|Q72J73|VATB_THET2	1.6e-17	373-465		alpha superhelices	C-terminal domain of alpha and beta subunits of F1 ATP synthase	C-terminal domain of alpha and beta subunits of F1 ATP synthase	ATP-synt_ab_C	160.1.1.1	
sp|Q72JJ7|RNJ_THET2	3.3e-64	26-269		a+b four layers	Metallo-hydrolase/oxidoreductase	Metallo-hydrolase/oxidoreductase	Lactamase_B_6_1	247.1.1.40	
